Unnamed: 0.1,Unnamed: 0,name,latitude,longitude
42,42,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
43,43,Greenwich - Isetann Recto,14.602752,120.984799
44,44,Andok's - Carriedo,14.5990063,120.9814594
45,45,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
46,46,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
47,47,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
48,48,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
49,49,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
50,50,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
51,51,Red Ribbon - Binondo,14.5982956,120.9757438
52,52,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
53,53,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
54,54,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
55,55,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
56,56,Turks - Recto,14.601017,120.989913
57,57,Potato Corner - Isetann Recto,14.602955,120.984146
58,58,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
59,59,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
60,60,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
61,61,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
62,62,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
63,63,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
64,64,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
65,65,McDonald's - Good Earth,14.59968074,120.9813703
66,66,Jollibee - Raon,14.600723,120.984396
67,67,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
68,68,KFC - Good Earth,14.599339283333334,120.98126608333332
69,69,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
70,70,Andok's Dine-In - Quiapo,14.6017109,120.9850132
71,71,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
72,72,Chowking - Paterno,14.5994997,120.98417191111112
73,73,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
74,74,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
75,75,Greenwich - Isetann Recto,14.602752,120.984799
76,76,Andok's - Carriedo,14.5990063,120.9814594
77,77,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
78,78,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
79,79,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
80,80,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
81,81,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
82,82,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
83,83,Red Ribbon - Binondo,14.5982956,120.9757438
84,84,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
85,85,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
86,86,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
87,87,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
88,88,Turks - Recto,14.601017,120.989913
89,89,Potato Corner - Isetann Recto,14.602955,120.984146
90,90,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
91,91,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
92,92,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
93,93,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
94,94,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
95,95,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
96,96,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
97,97,McDonald's - Good Earth,14.59968074,120.9813703
98,98,Jollibee - Raon,14.600723,120.984396
99,99,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
100,100,KFC - Good Earth,14.599339283333334,120.98126608333332
101,101,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
102,102,Andok's Dine-In - Quiapo,14.6017109,120.9850132
103,103,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
104,104,Chowking - Paterno,14.5994997,120.98417191111112
105,105,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
106,106,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
107,107,Greenwich - Isetann Recto,14.602752,120.984799
108,108,Andok's - Carriedo,14.5990063,120.9814594
109,109,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
110,110,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
111,111,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
112,112,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
